"StratAdvsr2,CL&PS",46.01,63.2,49.6,26,47.61,46.67,92.76%
"StratAdvsr2,CSPI&P",45.3,51,47,6,45.98,33,96.38%
"StratAdvsr2,Engrng&Plans Rev",49.43,42.29,50.84,76.47,50.39,65.59,97.24%
"StratAdvsr2,Exempt",46.08,38.15,45.83,34.61,45.99,36.81,100.56%
"StratAdvsr2,Exempt-BU",46.3,58,44.98,160,45.64,109,102.94%
"StratAdvsr2,Fin,Bud,&Actg",48.77,39,46.12,38,48.33,38.83,105.73%
"StratAdvsr2,Fin,Bud,&Actg-BU",43.16,96,49.39,52.6,47.61,65,87.38%
"StratAdvsr2,General Govt",48.09,62.28,49.61,62.3,48.82,62.29,96.93%
"StratAdvsr2,General Govt-BU",50.21,53,48.74,82.75,49.48,67.88,103.01%
"StratAdvsr2,Info Technol",47.52,3,49.89,2,48.71,2.5,95.25%
"StratAdvsr2,PC&RM",46.41,48.33,47.5,64,46.68,52.25,97.69%
"StratAdvsr2,Utils",50.09,69.8,50.46,77.64,50.28,73.9,99.27%
"StratAdvsr2,Utils-BU",50.02,37.56,50.57,66.62,50.35,54.73,98.90%
"StratAdvsr3,Exempt",55.65,50.47,55.11,39.94,55.37,45.06,100.99%
"StratAdvsr3,General Govt",52.58,61.5,55.38,65.57,54.09,63.69,94.95%
"StratAdvsr3,Utils",58.23,72.5,50.63,141,55.7,95.33,115%
"StratAdvsr3,Utils-BU",55.58,24,55.81,49.67,55.75,43.25,99.59%
Street Maint CC,33.38,54,33.04,45,33.11,46.8,101.04%
Street Maint Supv,36,58,36,70,36,62,100%
Street Paving CC,33.93,38,33.93,45.17,33.93,44.14,100%
Strucl Iron Wkr,41.14,19,40.92,161.89,40.95,147.6,100.53%
Strucl Plans Engr,45.69,0,45.69,164.4,45.69,137,100%
Strucl Plans Engr Supv,53.39,7,53.39,156,53.39,81.5,100%
"Strucl Plans Engr,Sr",47.44,32,50.07,67.5,48.75,49.75,94.74%
Strucl Pntr,31.34,347,31.34,50.3,31.34,77.27,100%
Strucl Pntr CC,36.02,82,36.02,15,36.02,48.5,100%
Supply&Inventory Tech,25.28,154,25.28,55,25.28,104.5,100%
